Report Date,Country,Indicator,Value
2019-01-01,ARG,WHOSIS_000001,79.91026
2020-01-01,ARG,WHOSIS_000001,76.22885
2021-01-01,ARG,WHOSIS_000001,74.56898
2000-01-01,ARM,WHOSIS_000001,71.62173
2001-01-01,ARM,WHOSIS_000001,71.79061
2002-01-01,ARM,WHOSIS_000001,71.58333
2003-01-01,ARM,WHOSIS_000001,74.94475
2004-01-01,ARM,WHOSIS_000001,72.03084
2005-01-01,ARM,WHOSIS_000001,72.07541
2006-01-01,ARM,WHOSIS_000001,68.16923
2007-01-01,ARM,WHOSIS_000001,76.1518
2008-01-01,ARM,WHOSIS_000001,72.48686
2009-01-01,ARM,WHOSIS_000001,76.52672
2010-01-01,ARM,WHOSIS_000001,73.01384
2011-01-01,ARM,WHOSIS_000001,77.32893
2012-01-01,ARM,WHOSIS_000001,77.56046
2013-01-01,ARM,WHOSIS_000001,77.93684
2014-01-01,ARM,WHOSIS_000001,74.19758
2015-01-01,ARM,WHOSIS_000001,78.25486
2016-01-01,ARM,WHOSIS_000001,69.82437
2017-01-01,ARM,WHOSIS_000001,70.61848
2018-01-01,ARM,WHOSIS_000001,75.62031
2019-01-01,ARM,WHOSIS_000001,70.81724
2020-01-01,ARM,WHOSIS_000001,62.73319
2021-01-01,ARM,WHOSIS_000001,68.59851
2000-01-01,ATG,WHOSIS_000001,71.99137
2001-01-01,ATG,WHOSIS_000001,74.69656
2002-01-01,ATG,WHOSIS_000001,77.05596
2003-01-01,ATG,WHOSIS_000001,72.95943
2004-01-01,ATG,WHOSIS_000001,77.40291
2005-01-01,ATG,WHOSIS_000001,73.32044
2006-01-01,ATG,WHOSIS_000001,75.54508
2007-01-01,ATG,WHOSIS_000001,74.95911
2008-01-01,ATG,WHOSIS_000001,75.05553
2009-01-01,ATG,WHOSIS_000001,77.89627
2010-01-01,ATG,WHOSIS_000001,75.57824
2011-01-01,ATG,WHOSIS_000001,77.75709
2012-01-01,ATG,WHOSIS_000001,73.41194
2013-01-01,ATG,WHOSIS_000001,77.54315
2014-01-01,ATG,WHOSIS_000001,77.30671
2015-01-01,ATG,WHOSIS_000001,75.6154
2016-01-01,ATG,WHOSIS_000001,75.54813
2017-01-01,ATG,WHOSIS_000001,75.56558
2018-01-01,ATG,WHOSIS_000001,74.02403
2019-01-01,ATG,WHOSIS_000001,74.04826
2020-01-01,ATG,WHOSIS_000001,77.61326
2021-01-01,ATG,WHOSIS_000001,76.91527
2000-01-01,AUS,WHOSIS_000001,77.12356
2001-01-01,AUS,WHOSIS_000001,82.62388
2002-01-01,AUS,WHOSIS_000001,77.78703
2003-01-01,AUS,WHOSIS_000001,80.56634
2004-01-01,AUS,WHOSIS_000001,78.41941
2005-01-01,AUS,WHOSIS_000001,80.84135
2006-01-01,AUS,WHOSIS_000001,81.04245
2007-01-01,AUS,WHOSIS_000001,79.22248
2008-01-01,AUS,WHOSIS_000001,83.45069
2009-01-01,AUS,WHOSIS_000001,79.63332
2010-01-01,AUS,WHOSIS_000001,81.91408
2011-01-01,AUS,WHOSIS_000001,79.90068
2012-01-01,AUS,WHOSIS_000001,82.27247
2013-01-01,AUS,WHOSIS_000001,80.53421
2014-01-01,AUS,WHOSIS_000001,82.36885
2015-01-01,AUS,WHOSIS_000001,84.16785
2016-01-01,AUS,WHOSIS_000001,82.59342
2017-01-01,AUS,WHOSIS_000001,84.5169
2018-01-01,AUS,WHOSIS_000001,81.16105
2019-01-01,AUS,WHOSIS_000001,82.64234
2020-01-01,AUS,WHOSIS_000001,81.50155
2021-01-01,AUS,WHOSIS_000001,84.89782
2000-01-01,AUT,WHOSIS_000001,80.9814
2001-01-01,AUT,WHOSIS_000001,81.42801
2002-01-01,AUT,WHOSIS_000001,75.72035
2003-01-01,AUT,WHOSIS_000001,75.81623
2004-01-01,AUT,WHOSIS_000001,76.25965
2005-01-01,AUT,WHOSIS_000001,81.90258
2006-01-01,AUT,WHOSIS_000001,79.8052
2007-01-01,AUT,WHOSIS_000001,82.63387
2008-01-01,AUT,WHOSIS_000001,80.26667
2009-01-01,AUT,WHOSIS_000001,77.39
2010-01-01,AUT,WHOSIS_000001,82.98703
2011-01-01,AUT,WHOSIS_000001,83.28185
2012-01-01,AUT,WHOSIS_000001,83.07907
2013-01-01,AUT,WHOSIS_000001,83.29853
2014-01-01,AUT,WHOSIS_000001,78.88532
2015-01-01,AUT,WHOSIS_000001,80.98622
2016-01-01,AUT,WHOSIS_000001,79.08959
2017-01-01,AUT,WHOSIS_000001,81.38857
2018-01-01,AUT,WHOSIS_000001,81.42362
2019-01-01,AUT,WHOSIS_000001,81.64848
2020-01-01,AUT,WHOSIS_000001,81.08512
2021-01-01,AUT,WHOSIS_000001,83.30325
2000-01-01,AZE,WHOSIS_000001,68.09305
2001-01-01,AZE,WHOSIS_000001,63.49476
2002-01-01,AZE,WHOSIS_000001,66.7152
2003-01-01,AZE,WHOSIS_000001,66.74212
2004-01-01,AZE,WHOSIS_000001,70.21029
2005-01-01,AZE,WHOSIS_000001,64.58311
2006-01-01,AZE,WHOSIS_000001,67.63798
2007-01-01,AZE,WHOSIS_000001,69.26432
2008-01-01,AZE,WHOSIS_000001,65.91256
2009-01-01,AZE,WHOSIS_000001,66.6968
2010-01-01,AZE,WHOSIS_000001,69.81387
2011-01-01,AZE,WHOSIS_000001,70.38906
2012-01-01,AZE,WHOSIS_000001,71.2113
2013-01-01,AZE,WHOSIS_000001,72.08992
2014-01-01,AZE,WHOSIS_000001,74.65632
2015-01-01,AZE,WHOSIS_000001,71.67624
2016-01-01,AZE,WHOSIS_000001,73.96997
2017-01-01,AZE,WHOSIS_000001,76.94867
2018-01-01,AZE,WHOSIS_000001,77.52008
2019-01-01,AZE,WHOSIS_000001,78.08531
2020-01-01,AZE,WHOSIS_000001,71.43113
2021-01-01,AZE,WHOSIS_000001,75.19257
2000-01-01,BDI,WHOSIS_000001,41.82779
2001-01-01,BDI,WHOSIS_000001,45.56023
2002-01-01,BDI,WHOSIS_000001,44.33004
2003-01-01,BDI,WHOSIS_000001,45.4085
2004-01-01,BDI,WHOSIS_000001,51.97199
2005-01-01,BDI,WHOSIS_000001,50.90905
2006-01-01,BDI,WHOSIS_000001,55.87489
2007-01-01,BDI,WHOSIS_000001,56.45412
2008-01-01,BDI,WHOSIS_000001,56.55026
2009-01-01,BDI,WHOSIS_000001,58.71585
2010-01-01,BDI,WHOSIS_000001,60.86568
2011-01-01,BDI,WHOSIS_000001,58.94386
2012-01-01,BDI,WHOSIS_000001,59.59416
2013-01-01,BDI,WHOSIS_000001,60.06413
2014-01-01,BDI,WHOSIS_000001,62.32269
2015-01-01,BDI,WHOSIS_000001,62.70695
2016-01-01,BDI,WHOSIS_000001,65.13672
2017-01-01,BDI,WHOSIS_000001,61.73259
2018-01-01,BDI,WHOSIS_000001,62.05014
2019-01-01,BDI,WHOSIS_000001,62.36845
2020-01-01,BDI,WHOSIS_000001,66.67209
2021-01-01,BDI,WHOSIS_000001,62.04709
2000-01-01,BEL,WHOSIS_000001,77.67191
2001-01-01,BEL,WHOSIS_000001,77.97358
2002-01-01,BEL,WHOSIS_000001,75.02046
2003-01-01,BEL,WHOSIS_000001,80.88262
2004-01-01,BEL,WHOSIS_000001,81.54865
